trial_type,us,iti_duration,cs_duration,cs_img,trial,half,task,cs_shape,rating_img,rating_type,rating_text,top_instructions_text,left_anchor_text,center_anchor_text,right_anchor_text,extinction_trials.thisRepN,extinction_trials.thisTrialN,extinction_trials.thisN,extinction_trials.thisIndex,post_form_c_trials.thisRepN,post_form_c_trials.thisTrialN,post_form_c_trials.thisN,post_form_c_trials.thisIndex,post_ratings_trials.thisRepN,post_ratings_trials.thisTrialN,post_ratings_trials.thisN,post_ratings_trials.thisIndex,fixation_image_pre.started,iti_start,fixation_image_hab.started,iti_end,iti_dur,cs_onset,cs_offset,cs_dur,expectancy_response.keys,fixation_image_post.started,form_3a.started,form_3a_next_button.started,form_3a.index,form_3a.itemText,form_3a.type,form_3a.font,form_3a.markerColor,form_3a.response,form_3a.rt,form_3a_next_button.numClicks,form_3a_next_button.timesOn,form_3a_next_button.timesOff,form_3b.started,form_3b_next_button.started,form_3b.index,form_3b.itemText,form_3b.type,form_3b.font,form_3b.markerColor,form_3b.response,form_3b.rt,form_3b_next_button.numClicks,form_3b_next_button.timesOn,form_3b_next_button.timesOff,form_3c.started,form_3c_next_button.started,form_3c.index,form_3c.itemText,form_3c.type,form_3c.font,form_3c.markerColor,form_3c.response,form_3c.rt,form_3c_next_button.numClicks,form_3c_next_button.timesOn,form_3c_next_button.timesOff,form_3d.started,form_3d_next_button.started,form_3d.index,form_3d.itemText,form_3d.type,form_3d.font,form_3d.markerColor,form_3d.response,form_3d.rt,form_3d_next_button.numClicks,form_3d_next_button.timesOn,form_3d_next_button.timesOff,fixation_image_ratings.started,fixation_image_ratings.stopped,center.started,left.started,right.started,top_instructions.started,rating_slider.started,rating_next_button.started,rating_slider.response,rating_slider.rt,rating_next_button.numClicks,rating_next_button.timesOn,rating_next_button.timesOff,,date,expName,psychopyVersion,frameRate,
CS-,0,14,8,stimuli/aligned.png,21,2,extinction,,,,,,,,,0,20,20,20,,,,,,,,,,401.51134320005076,410.891533099988,415.5040902000037,13.992748000018764,415.50409960001707,423.5193240000517,8.015209800039884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,14.5,8,stimuli/aligned.png,22,2,extinction,,,,,,,,,0,21,21,21,,,,,,,,,,423.5196547000087,432.89990720001515,438.0134106000187,14.49375709996093,438.0134201000328,446.01195170002757,7.998530799988657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,13.5,8,stimuli/rotated.png,23,2,extinction,,,,,,,,,0,22,22,22,,,,,,,,,,446.01227260002634,455.3925303000142,459.50414279999677,13.491870800033212,459.5041518000071,467.5026872000308,7.998521199973766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,12,8,stimuli/aligned.png,24,2,extinction,,,,,,,,,0,23,23,23,,,,,,,,,,467.50299900001846,476.8832584999618,479.50872179999715,12.005723599984776,479.508731000009,487.50725980004063,7.9985281999688596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,10,8,stimuli/aligned.png,25,2,extinction,,,,,,,,,0,24,24,24,,,,,,,,,,487.50758210005006,496.88783789996523,497.5094984000316,10.001916799985338,497.50950760004343,505.5080348000047,7.998512700025458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,11.5,8,stimuli/rotated.png,26,2,extinction,,,,,,,,,0,25,25,25,,,,,,,,,,505.50834560004296,514.8886216999963,517.0131295000319,11.504784899996594,517.013138600043,525.0116885000025,7.998536100029014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,9.5,8,stimuli/aligned.png,27,2,extinction,,,,,,,,,0,26,26,26,,,,,,,,,,525.0119920000434,534.3922617000062,534.5129536000313,9.500962499994785,534.5129625000409,542.5115037000505,7.998526600014884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,12,8,stimuli/rotated.png,28,2,extinction,,,,,,,,,0,27,27,27,,,,,,,,,,542.5118030000012,551.8920812999713,554.5008399000508,11.989037899998948,554.5008489000029,562.5160828000517,8.015219799999613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS+,0,10,8,stimuli/rotated.png,29,2,extinction,,,,,,,,,0,28,28,28,,,,,,,,,,562.5163839000161,571.8966599999694,572.5016240000259,9.985240999958478,572.5016328000347,580.5001740000444,7.998526800016407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
CS-,0,9,8,stimuli/aligned.png,30,2,extinction,,,,,,,,,0,29,29,29,,,,,,,,,,580.5005040000542,589.8807412000024,589.5005077000242,9.000004799978342,589.5005172000383,597.5157446000376,8.015227600000799,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-14_12h26.48.928,extinction,2022.2.4,59.88594123231274,
